Croft,,Elgin,,Welbourn,,Humbie,,Bowsden,,Framling,,Ickleton,,W-Charlt,,Frisby,,Wolferton,,Attleborough,,Hythe,,Laurnkirk,,Barnston,,Telford,
2011,11.83,2003,9.27,2008,12.05,2004,8.57,2004,10.7,2002,7.82,2012,10,2008,7.2,2004,8.51,2009,12.83,2004,11.59,2006,9.37,2006,10.68,2004,7.87,2002,13.84
2012,8.04,2004,9.35,2009,12.4,2005,11.67,2005,10.46,2003,11.31,2013,9.07,2009,11.98,2005,9.3,2010,8.68,2005,10.34,2007,10.85,2007,8.7,2005,11.14,2003,10.68
2013,9.24,2005,9.84,2010,11.71,2006,11.74,2006,9.59,2004,10.48,2014,11.16,2010,10.43,2006,10.6,2011,8.48,2006,6.68,2008,10.97,2008,8.98,2006,11.85,2004,12.71
2014,12,2006,10.73,2011,6.41,2007,9.2,2007,9.36,2005,11.26,2015,9.91,2011,8.98,2007,9.22,2012,10.77,2007,8.79,2009,12.17,2009,9.51,2007,10.7,2005,11.57
54.48341,-1.555088,57.650169,-3.318875,53.075995,-0.558595,55.855234,-2.864429,55.672815,-2.013839,52.222244,1.342265,52.071507,0.173392,50.269853,-3.755239,52.753613,-0.971718,52.827881,0.455984,52.518174,1.014732,51.07163,1.081831,56.831914,-2.472834,51.853322,0.386578,52.678088,-2.445319
,,,,2012,8.92,2008,11.67,,,2006,11.88,,,,,2010,10.49,,,,,,,,,,,,
,,,,2013,8.76,2009,10.3,,,2007,10.14,,,,,2011,10.12,,,,,,,,,,,,
,,,,2014,10.48,2010,12.81,,,2008,12.36,,,,,2012,5.4,,,,,,,,,,,,
,,,,2015,12.09,2011,10.68,,,2009,12.24,,,,,2013,12.77,,,,,,,,,,,,
,,,,53.075995,-0.558595,55.855234,-2.864429,,,52.222244,1.342265,,,,,52.753613,-0.971718,,,,,,,,,,,,
,,,,,,2012,7.54,,,2010,8.52,,,,,,,,,,,,,,,,,,
,,,,,,2013,10.57,,,2011,9.13,,,,,,,,,,,,,,,,,,
,,,,,,2014,11.6,,,2012,11.97,,,,,,,,,,,,,,,,,,
,,,,,,2015,11.15,,,2013,10.44,,,,,,,,,,,,,,,,,,
,,,,,,55.855234,-2.864429,,,52.222244,1.342265,,,,,,,,,,,,,,,,,,
